date,Time.of.Issue,Form,Method,Issue,Zip
07/27/2016,10:16 am,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),77447
07/27/2016,1:09 p.m.,Phone,Wireless (cell phone/other mobile device),Robocalls,24018
07/27/2016,1:00 pm,Phone,Wireless (cell phone/other mobile device),Robocalls,32226
07/27/2016,1:10 pm,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),33467
07/27/2016,12:00 p.m.,Phone,Wireless (cell phone/other mobile device),Robocalls,60098
07/27/2016,1:15 P.M.,Phone,Wireless (cell phone/other mobile device),Robocalls,773
07/27/2016,12:08 PM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),77833
07/27/2016,11:20 p.m.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),87110
07/27/2016,10:00 AM,Phone,Wired,Robocalls,34482
07/27/2016,12:15 pm,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),38138
07/27/2016,12:41 pm,Phone,Wired,Telemarketing (including do not call and spoofing),34232
07/25/2016,1:30 p.m.,Phone,Wireless (cell phone/other mobile device),Robocalls,23502
07/27/2016,1:00 pm,Phone,Internet (VOIP),Telemarketing (including do not call and spoofing),19145
07/27/2016,12:57 pm,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),32137
07/27/2016,1:40 pm,Phone,Wireless (cell phone/other mobile device),Robocalls,21136
07/26/2016,11:56 am,Phone,Wireless (cell phone/other mobile device),Robocalls,3045
07/27/2016,1:15 pm,Phone,Wired,Telemarketing (including do not call and spoofing),5404
07/27/2016,11:48 am,Phone,Wired,Telemarketing (including do not call and spoofing),75028
07/27/2016,1:51 pm,Phone,Wireless (cell phone/other mobile device),Robocalls,7928
07/27/2016,10:50 am,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),95134
07/25/2016,3:00 pm,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),88201
07/27/2016,12:51 PM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),76022
07/27/2016,9:11 a.m.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),93424
07/25/2016,11:00 am,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),20830
07/27/2016,2:10 pm,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),10994
07/27/2016,11:05 am,Phone,Wired,Telemarketing (including do not call and spoofing),92198
07/27/2016,10:56 a.m.,Phone,Wireless (cell phone/other mobile device),Robocalls,95110
07/27/2016,1:54 p.m.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),20175
07/27/2016,11:55 am,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),83616
07/27/2016,12:00 pm,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),36420
07/27/2016,1:43 pm,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),42701
07/27/2016,11:00 am,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),94706
07/27/2016,11:20 am,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),85301
07/27/2016,2:20 p.m.,Phone,Wireless (cell phone/other mobile device),Robocalls,43212
07/27/2016,2:03 p.m.,Phone,Wired,Telemarketing (including do not call and spoofing),2360
07/27/2016,NA,Phone,Wired,Robocalls,55008
07/27/2016,2:30 p.m.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),30339
07/27/2016,10:00 am,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),98116
07/27/2016,1:31 PM,Phone,Wireless (cell phone/other mobile device),Robocalls,35207
07/23/2016,12:32 pm,Phone,Internet (VOIP),Telemarketing (including do not call and spoofing),92705
07/27/2016,11:12 a.m.,Phone,Wireless (cell phone/other mobile device),Robocalls,77868
07/27/2016,11:00 am,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),92646
07/27/2016,2:40 p.m.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),8618
07/27/2016,2:41 PM,Phone,Wired,Telemarketing (including do not call and spoofing),6259
07/27/2016,11:48 am,Phone,Wired,Robocalls,91730
07/27/2016,3:00 pm,Phone,Wired,Robocalls,20007
07/27/2016,2:50 pm,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),22151
07/27/2016,1:38 PM,Phone,Wireless (cell phone/other mobile device),Robocalls,46324
07/27/2016,12:00 pm,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),95123
07/27/2016,1:02 pm,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),79912
07/27/2016,1:30 pm,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),60123
07/27/2016,3:11 pm,Phone,Wireless (cell phone/other mobile device),Robocalls,45039
09/08/2016,8:44 a.m.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),21784
07/27/2016,2:52 pm,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),32832
07/27/2016,3:15 p.m.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),30030
07/27/2016,2:10 p.m.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),68123
07/27/2016,1:00 pm,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),67601
09/08/2016,9:32 am,Phone,Wireless (cell phone/other mobile device),Robocalls,29405
08/16/2016,4:32 pm,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),20005
07/27/2016,2:29 pm,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),33544
07/27/2016,2:10 pm,Phone,Wired,Telemarketing (including do not call and spoofing),76182
07/27/2016,2:00 pm,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),21784
07/25/2016,3:30 p.m.,Phone,Wired,Telemarketing (including do not call and spoofing),70546
09/08/2016,9:19 a.m.,Phone,Wired,Robocalls,33449
09/08/2016,9:3 A.M.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),15068
09/08/2016,9:40 am,Phone,Wireless (cell phone/other mobile device),Robocalls,1440
07/27/2016,2:00 pm,Phone,Wired,Telemarketing (including do not call and spoofing),71635
07/27/2016,9:50 am,Phone,Wired,Telemarketing (including do not call and spoofing),85082
07/27/2016,12:15 PM,Phone,Wireless (cell phone/other mobile device),Robocalls,93704
07/27/2016,9:59 am,Phone,Wireless (cell phone/other mobile device),Robocalls,98407
07/27/2016,3:20 pm,Phone,Wired,Telemarketing (including do not call and spoofing),43085
07/27/2016,2:22 PM,Phone,Wired,Telemarketing (including do not call and spoofing),75001
07/27/2016,2:34 p.m.,Phone,Wired,Telemarketing (including do not call and spoofing),35040
07/27/2016,NA,Phone,Wired,Telemarketing (including do not call and spoofing),33704
07/27/2016,3:33 pm,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),14221
09/08/2016,9:37 am,Phone,Wireless (cell phone/other mobile device),Robocalls,29679
08/17/2016,11:43 PM,Phone,Internet (VOIP),Robocalls,32081
07/27/2016,3:15 pm,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),21044
07/27/2016,12:53 PM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),90620
07/27/2016,3:55 PM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),48732
07/27/2016,3:00 pm,Phone,Wired,Robocalls,43017
07/27/2016,3:45 PM,Phone,Wired,Robocalls,44149
07/27/2016,3:27 pm,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),44107
07/27/2016,2:50 p.m.,Phone,Wired,Telemarketing (including do not call and spoofing),61821
07/27/2016,12:54 pm,Phone,Wireless (cell phone/other mobile device),Robocalls,89048
07/27/2016,3:30 pm,Phone,Wired,Telemarketing (including do not call and spoofing),29802
07/27/2016,3:44 P.M.,Phone,Wired,Telemarketing (including do not call and spoofing),2540
07/27/2016,3:30 pm,Phone,Internet (VOIP),Robocalls,10019
